CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615          625552      1310941985       239996474      1311464520 L1-dcache-prefetches
 -1     1615          797463      1310948107       191997610      1311464520 L1-dcache-store-misses
 -1     1615        72635586      1310954169       191998629      1311464520 L1-dcache-stores
 -1     1615        22370299      1310960064       191997815      1311464520 L1-icache-load-misses
 -1     1615       167581629      1310966009       191999509      1311464520 L1-icache-loads
 -1     1615           33263      1310972044       191996985      1311464520 LLC-load-misses
 -1     1615          170438      1310979709       191996665      1311464520 LLC-loads
 -1     1615           84006      1310994313       191997333      1311464520 dTLB-load-misses
 -1     1615       140162970      1310998407       191997378      1311464520 dTLB-loads
 -1     1615           13674      1311002196       191996487      1311464520 dTLB-store-misses
 -1     1615        72578735      1311005848       191997966      1311464520 dTLB-stores
 -1     1615           20666      1311009433       192000274      1311464520 iTLB-load-misses
 -1     1615       516112382      1311012912       191997839      1311464520 iTLB-loads
 -1     1615        67555566      1311016440       191998262      1311464520 branch-load-misses
 -1     1615       103254229      1311020027       191997580      1311464520 branch-loads
 -1     1615               0      1311023747       191995359      1311464520 mem-loads
 -1     1615        80035962      1311027283       192058179      1311464520 stalled-cycles-backend
 -1     1615       181678915      1311030984       191965369      1311464520 stalled-cycles-frontend
 -1     1615       113220803      1411764913       210566604      1412367638 branches
 -1     1615         1430497      1411785782       214566398      1412367638 branch-misses
 -1     1615          928213      1411799862       215754267      1412367638 cache-references
 -1     1615          390125      1411810696       215854756      1412367638 cache-misses
 -1     1615       452129888      1411819236       213264161      1412367638 cycles
 -1     1615       706643744      1411827736       265271277      1412367638 instructions
 -1     1615         2919414      1411836384       261284305      1412367638 L1-dcache-load-misses
 -1     1615       190283786      1411843653       259995799      1412367638 L1-dcache-loads
 -1     1615           92083      1411849836       259998128      1412367638 L1-dcache-prefetch-misses
 -1     1615          686778      1411855987       259995220      1412367638 L1-dcache-prefetches
 -1     1615          863946      1411861982       207996976      1412367638 L1-dcache-store-misses
 -1     1615        78764301      1411868078       207998689      1412367638 L1-dcache-stores
 -1     1615        24262105      1411874063       207997738      1412367638 L1-icache-load-misses
 -1     1615       181684489      1411880071       207999644      1412367638 L1-icache-loads
 -1     1615           36036      1411886066       207997137      1412367638 LLC-load-misses
 -1     1615          184148      1411893725       207996720      1412367638 LLC-loads
 -1     1615           90841      1411897392       207997464      1412367638 dTLB-load-misses
 -1     1615       151909789      1411901069       207997681      1412367638 dTLB-loads
 -1     1615           14846      1411904747       207996499      1412367638 dTLB-store-misses
 -1     1615        78716037      1411908219       207997488      1412367638 dTLB-stores
 -1     1615           22380      1411911666       208000378      1412367638 iTLB-load-misses
 -1     1615       558993855      1411915106       207997256      1412367638 iTLB-loads
 -1     1615        73233263      1411918627       207997844      1412367638 branch-load-misses
 -1     1615       111847515      1411922187       207997736      1412367638 branch-loads
 -1     1615               0      1411925755       207994661      1412367638 mem-loads
 -1     1615        86868272      1411929353       208057833      1412367638 stalled-cycles-backend
 -1     1615       196962492      1411933046       207964796      1412367638 stalled-cycles-frontend
 -1     1615       120805462      1512663565       224756172      1513280900 branches
 -1     1615         1495371      1512686860       224778615      1513280900 branch-misses
 -1     1615          964736      1512698468       224672557      1513280900 cache-references
 -1     1615          405158      1512707052       224769850      1513280900 cache-misses
 -1     1615       474731902      1512714477       223920967      1513280900 cycles
 -1     1615       745782977      1512720736       279918547      1513280900 instructions
 -1     1615         3120590      1512726802       279922630      1513280900 L1-dcache-load-misses
 -1     1615       204881342      1512733074       279976720      1513280900 L1-dcache-loads
 -1     1615           99433      1512739125       279980363      1513280900 L1-dcache-prefetch-misses
